hour,token_capacity,export_tokens,token_export_revenue,token_energy_cost,net_token_profit,avg_cross_timezone_delay,token_sla_violation_rate,energy_per_million_tokens,cost_per_million_tokens,utility,export_ramp_tokens,asia_export_tokens,europe_export_tokens,america_export_tokens,strategy,price,power_margin_norm
3,316141.5124393103,173877.83184162067,0.14084104379171275,0.00558805955358764,0.1352529842381251,0.17750000000000002,0.05,0.7945080169144483,0.03213784928418944,0.060920211125832256,173877.83184162067,139102.26547329655,26081.6747762431,8693.891592081034,Latency-Aware,40.45,0.3161415124393103
4,410467.0582124122,225756.8820168267,0.18286307443362965,0.004605709081851624,0.17825736535177802,0.1775,0.05,0.7331964121619321,0.02040119016840576,0.08174629828958462,51879.05017520604,180605.50561346137,33863.53230252401,11287.844100841336,Latency-Aware,27.825,0.4104670582124122
5,229181.6027568471,126049.88151626592,0.09642815935994344,0.003932609025101623,0.09249555033484182,0.17750000000000002,0.05,0.8510319582080494,0.031198831587907087,0.038609225986638136,99707.0005005608,100839.90521301274,18907.482227439887,6302.494075813296,Latency-Aware,36.66,0.2291816027568471
6,251147.58811934362,138131.173465639,0.10567034770121385,0.004581085486299845,0.101089262214914,0.1775,0.05,0.8367540677224266,0.03316474747417837,0.042038185558353335,12081.291949373088,110504.9387725112,20719.67601984585,6906.55867328195,Latency-Aware,39.635,0.2511475881193436
7,301400.61495587375,165770.33822573058,0.1268143087426839,0.005112499232851312,0.12170180950983259,0.1775,0.05,0.804089600278682,0.03084085661868885,0.05083498991833276,27639.164760091575,132616.27058058447,24865.550733859585,8288.51691128653,Latency-Aware,38.355,0.3014006149558738
8,173405.5085635912,95373.02970997516,0.072960367728131,0.0035330183512495123,0.06942734937688148,0.1775,0.05,0.8872864194336657,0.037044208011355544,0.0286553791758671,70397.30851575542,76298.42376798013,14305.954456496274,4768.651485498758,Latency-Aware,41.75,0.1734055085635912
9,107367.61530437849,59052.18841740818,0.05757588370697297,0.0024647538890381388,0.055111129817934826,0.17750000000000002,0.05,0.930211050052154,0.04173856981584016,0.029866319269492833,36320.84129256698,47241.75073392654,8857.828262611225,2952.609420870409,Latency-Aware,44.870000000000005,0.1073676153043785
10,22280.311616012597,12254.17138880693,0.011947817104086758,0.0006746046852538081,0.01127321241883295,0.1775,0.05,0.9855177974495918,0.0550510241655342,0.006034554150117987,46798.01702860125,9803.337111045545,1838.1257083210394,612.7085694403465,Latency-Aware,55.86000000000001,0.0222803116160126
11,57437.5759582944,31590.666777061924,0.030800900107635375,0.0015255802266930932,0.029275319880942282,0.1775,0.05,0.9626655756271086,0.04829211860133391,0.01577030983374831,19336.495388254996,25272.53342164954,4738.600016559289,1579.5333388530962,Latency-Aware,50.165,0.0574375759582944
12,94609.47169982339,52035.20943490287,0.040743568987528955,0.002159006139296918,0.038584562848232036,0.1775,0.05,0.9385038433951148,0.04149125491649802,0.01633951081481106,20444.542657840946,41628.1675479223,7805.28141523543,2601.7604717451436,Latency-Aware,44.21,0.0946094716998234
13,115059.8702501427,63282.928637578494,0.049550533123223967,0.002468763576101567,0.0470817695471224,0.17750000000000002,0.05,0.9252110843374072,0.03901152537108678,0.020028317554557588,11247.719202675624,50626.3429100628,9492.439295636774,3164.146431878925,Latency-Aware,42.165,0.1150598702501427
14,149368.9615698478,82152.9288634163,0.08009910564183088,0.0031643786779040587,0.07693472696392682,0.1775,0.049999999999999996,0.9029101749795989,0.038518148064629686,0.04181434987481636,18870.0002258378,65722.34309073303,12322.939329512445,4107.646443170815,Latency-Aware,42.66,0.1493689615698478
15,135637.1499661784,74600.43248139812,0.07139261388469802,0.0038661070375837292,0.06752650684711428,0.17750000000000002,0.05,0.9118358525219841,0.051824190678086975,0.03563482196131658,7552.496382018173,59680.3459851185,11190.064872209718,3730.0216240699065,Latency-Aware,56.835,0.1356371499661784
16,112965.1042794621,62130.807353704164,0.05945918263749489,0.004005630759564318,0.05545355187793057,0.17750000000000002,0.05,0.9265726822183495,0.06447092722875276,0.02889263173422204,12469.625127693958,49704.645882963334,9319.621103055624,3106.5403676852084,Latency-Aware,69.58,0.1129651042794621
17,182143.9412905096,100179.1677097803,0.07663706329798194,0.005519912451410612,0.07111715084657133,0.17750000000000005,0.05,0.8816064381611688,0.055100402385073056,0.028290556650640244,38048.36035607614,80143.33416782424,15026.875156467042,5008.958385489015,Latency-Aware,62.5,0.1821439412905096
18,258911.8524342649,142401.51883884572,0.10893716191171698,0.0063316089907030845,0.10260555292101389,0.1775,0.05,0.8317072959177279,0.04446307203976173,0.041728903617407345,42222.35112906541,113921.21507107659,21360.227825826856,7120.075941942287,Latency-Aware,53.46,0.2589118524342649
19,287499.1223187276,158124.5172753002,0.12096525571560467,0.005254863859572245,0.11571039185603242,0.17750000000000002,0.05,0.8131255704928271,0.03323244206604184,0.04811216072084158,15722.99843645448,126499.61382024016,23718.67759129503,7906.22586376501,Latency-Aware,40.87,0.2874991223187276
20,258945.24172405121,142419.8829482282,0.10895121045539459,0.004377858954549961,0.10457335150084462,0.1775,0.05,0.8316855928793667,0.030739099512821392,0.043688851540477074,15704.63432707201,113935.90635858255,21362.982442234228,7120.994147411409,Latency-Aware,36.96,0.2589452417240512
21,224277.13237382198,123352.42280560211,0.09436460344628561,0.003129491667884761,0.09123511177840085,0.1775,0.05,0.8542198639570158,0.025370329959523368,0.03850195102900594,19067.460142626078,98681.93824448169,18502.863420840313,6167.6211402801055,Latency-Aware,29.7,0.224277132373822
22,216447.3669650105,119046.05183075578,0.09107022965052818,0.0016081146395423448,0.08946211501098583,0.1775,0.05,0.8593092114727432,0.013508340804351524,0.03856992785333774,4306.37097484633,95236.84146460463,17856.907774613366,5952.302591537789,Latency-Aware,15.72,0.2164473669650105
23,187855.73375183108,103320.6535635071,0.08368972938644076,0.0011238294784772234,0.08256589990796354,0.17750000000000002,0.05,0.8778937730613098,0.010877103848229628,0.03839632050956425,15725.398267248675,82656.52285080569,15498.098034526065,5166.032678175356,Latency-Aware,12.39,0.1878557337518311
0,455555.2995770285,341666.47468277137,0.40999976961932566,0.010249909348601849,0.3997498602707238,0.2875,0.0,0.7038890552749315,0.029999751535817576,0.30152074879942703,341666.47468277137,0.0,341666.47468277137,0.0,RH-TEO,42.62,0.4555552995770285
1,272275.9292094087,204206.94690705652,0.2450483362884678,0.006811736597241649,0.23823659969122615,0.2875,0.0,0.8230206460138844,0.033357026782942736,0.1795271024554474,137459.52777571484,0.0,204206.94690705652,0.0,RH-TEO,40.53,0.2722759292094087
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204206.94690705652,0.0,0.0,0.0,RH-TEO,34.475,0.0
3,316141.5124393103,237106.13432948274,0.2845273611953793,0.00762008120943769,0.2769072799859416,0.2875,0.0,0.7945080169144483,0.03213784928418943,0.20873926636621531,237106.13432948274,0.0,237106.13432948274,0.0,RH-TEO,40.45,0.3161415124393103
4,410467.0582124122,307850.29365930916,0.369420352391171,0.006280512384343124,0.36313984000682786,0.28750000000000003,0.0,0.7331964121619321,0.02040119016840576,0.2746328805797765,70744.15932982642,0.0,307850.29365930916,0.0,RH-TEO,27.825,0.4104670582124122
5,229181.6027568471,171886.2020676353,0.15469758186087176,0.005362648670593121,0.14933493319027863,0.2875,0.0,0.8510319582080494,0.03119883158790709,0.09991765009583348,135964.09159167384,0.0,171886.2020676353,0.0,RH-TEO,36.66,0.2291816027568471
6,251147.58811934362,251147.58811934362,0.18082626344592742,0.008329246338726991,0.17249701710720042,0.27,0.0,0.8367540677224266,0.03316474747417837,0.10468716831497764,79261.38605170831,251147.58811934362,0.0,0.0,RH-TEO,39.635,0.2511475881193436
7,301400.61495587375,301400.61495587375,0.21700844276822914,0.00929545315063875,0.20771298961759038,0.27,0.0,0.804089600278682,0.030840856618688853,0.12633482357950446,50253.02683653013,301400.61495587375,0.0,0.0,RH-TEO,38.355,0.3014006149558738
8,173405.5085635912,173405.5085635912,0.12485196616578566,0.006423669729544568,0.11842829643624109,0.27,0.0,0.8872864194336657,0.03704420801135555,0.07160880912407147,127995.10639228256,173405.5085635912,0.0,0.0,RH-TEO,41.75,0.1734055085635912
9,107367.61530437849,107367.61530437849,0.10307291069220335,0.00448137070734207,0.09859153998486128,0.27,0.0,0.930211050052154,0.04173856981584016,0.0696022838526791,66037.89325921271,107367.61530437849,0.0,0.0,RH-TEO,44.870000000000005,0.1073676153043785
10,22280.311616012597,22280.311616012597,0.021389099151372094,0.0012265539731887419,0.02016254517818335,0.27,0.0,0.9855177974495918,0.0550510241655342,0.01414686104185995,85087.3036883659,22280.311616012597,0.0,0.0,RH-TEO,55.86000000000001,0.0222803116160126
11,57437.5759582944,57437.5759582944,0.055140072919962625,0.002773782230351078,0.052366290689611544,0.27,0.0,0.9626655756271086,0.0482921186013339,0.036858145180872055,35157.26434228181,57437.5759582944,0.0,0.0,RH-TEO,50.165,0.0574375759582944
12,94609.47169982339,94609.47169982339,0.06811881962387285,0.003925465707812578,0.06419335391606028,0.27,0.0,0.9385038433951148,0.04149125491649802,0.038648796557107956,37171.89574152899,94609.47169982339,0.0,0.0,RH-TEO,44.21,0.0946094716998234
13,115059.8702501427,115059.8702501427,0.08284310658010276,0.0044886610474573945,0.07835444553264537,0.27,0.0,0.9252110843374072,0.03901152537108677,0.04728828056510684,20450.39855031931,115059.8702501427,0.0,0.0,RH-TEO,42.165,0.1150598702501427
14,149368.9615698478,149368.9615698478,0.1433942031070539,0.005753415778007379,0.1376407873290465,0.27,0.0,0.9029101749795989,0.038518148064629686,0.09731116770518759,34309.0913197051,149368.9615698478,0.0,0.0,RH-TEO,42.66,0.1493689615698478
15,135637.1499661784,135637.1499661784,0.13021166396753128,0.007029285522879507,0.12318237844465177,0.27,0.0,0.9118358525219841,0.05182419067808697,0.08656034795378359,13731.811603669397,135637.1499661784,0.0,0.0,RH-TEO,56.835,0.1356371499661784
16,112965.1042794621,112965.1042794621,0.10844650010828362,0.0072829650173896684,0.10116353509089396,0.27,0.0,0.9265726822183495,0.06447092722875276,0.07066295693543918,22672.0456867163,112965.1042794621,0.0,0.0,RH-TEO,69.58,0.1129651042794621
17,182143.9412905096,136607.95596788218,0.12294716037109397,0.00752715334283265,0.11542000702826133,0.2875,0.0,0.8816064381611688,0.05510040238507305,0.0761452196874952,23642.85168842008,0.0,136607.95596788218,0.0,RH-TEO,62.5,0.1821439412905096
