hour,token_capacity,export_tokens,token_export_revenue,token_energy_cost,net_token_profit,avg_cross_timezone_delay,token_sla_violation_rate,energy_per_million_tokens,cost_per_million_tokens,utility,export_ramp_tokens,domestic_export_tokens,europe_export_tokens,north_america_export_tokens,strategy,price,power_margin_norm
13,429536.97870896815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Price-Driven,42.165,0.4295369787089681
14,482663.83477344736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Price-Driven,42.66,0.4826638347734474
15,456223.4972648837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Price-Driven,56.835,0.4562234972648837
16,456966.17043826246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Price-Driven,69.58,0.4569661704382625
17,512593.8357640839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Price-Driven,62.5,0.5125938357640839
18,619882.166335381,464911.6247515357,0.5021045547316585,0.014839846377226646,0.48726470835443186,0.3675,1.0,0.5970765918820023,0.031919714602011845,0.14272596769459073,464911.6247515357,0.0,0.0,464911.6247515357,Price-Driven,53.46,0.619882166335381
19,656075.6746592736,492056.7559944552,0.5314212964740116,0.011534313077596454,0.5198869833964151,0.3675,1.0,0.5735508114714721,0.023441021664839065,0.21604193656983908,27145.13124291948,0.0,0.0,492056.7559944552,Price-Driven,40.87,0.6560756746592736
20,591959.3820352395,443969.5365264296,0.47948709944854395,0.010095320204005437,0.4693917792445385,0.3675,1.0,0.6152264016770943,0.022738767805985403,0.1952405904394683,48087.21946802561,0.0,0.0,443969.5365264296,Price-Driven,36.96,0.5919593820352395
21,529659.0158620803,397244.2618965602,0.429023802848285,0.007736305265413056,0.42128749758287193,0.3675,1.0,0.6557216396896478,0.019474932698782543,0.175989165861746,46725.27462986938,0.0,0.0,397244.2618965602,Price-Driven,29.7,0.5296590158620803
22,471192.15947144263,353394.11960358196,0.3816656491718685,0.0038538895712005054,0.377811759600668,0.3675,1.0,0.6937250963435624,0.010905358514520803,0.15959089074545613,43850.14229297824,0.0,0.0,353394.11960358196,Price-Driven,15.72,0.4711921594714426
23,404564.93196423183,303423.69897317386,0.32769759489102773,0.002770815554761252,0.32492677933626646,0.3675,1.0,0.7370327942232493,0.00913183632042606,0.13756264522033163,49970.4206304081,0.0,0.0,303423.69897317386,Price-Driven,12.39,0.4045649319642318
0,683481.9154775183,375915.0535126351,0.3044911933452345,0.008903736186249317,0.29558745715898516,0.1775,0.05,0.555736754939613,0.023685500495526306,0.21120607023526694,375915.0535126351,300732.0428101081,56387.258026895266,18795.752675631757,Latency-Aware,42.62,0.6834819154775184
1,639369.9166416501,351653.4541529076,0.2848392978638552,0.008329305643070736,0.2765099922207845,0.1775,0.049999999999999996,0.5844095541829274,0.02368611923103405,0.20969583593173205,24261.599359727523,281322.76332232606,52748.01812293614,17582.67270764538,Latency-Aware,40.53,0.6393699166416501
2,566156.721699095,311386.1969345023,0.25222281951694686,0.006784524671139306,0.24543829484580756,0.17750000000000002,0.05,0.6319981308955882,0.0217881355626254,0.18627491742825214,40267.25721840531,249108.95754760184,46707.92954017534,15569.309846725115,Latency-Aware,34.475,0.566156721699095
3,475130.238145405,261321.6309799728,0.21167052109377799,0.0073059356163160186,0.20436458547746197,0.1775,0.049999999999999996,0.6911653452054867,0.02795763821356194,0.15471347559126714,50064.56595452948,209057.30478397824,39198.24464699592,13066.08154899864,Latency-Aware,40.45,0.475130238145405
4,425812.2763484457,234196.75199164514,0.1896993691132326,0.004712894104504167,0.18498647500872842,0.17750000000000002,0.05,0.7232220203735102,0.02012365271689292,0.14048909213031585,27124.878988327662,187357.4015933161,35129.51279874677,11709.837599582257,Latency-Aware,27.825,0.4258122763484457
5,125639.5945903557,69101.77702469564,0.05286285942389217,0.002326389691896696,0.05053646973199547,0.17750000000000002,0.05,0.9183342635162688,0.03366613410050641,0.0374071320973033,165094.9749669495,55281.42161975651,10365.266553704345,3455.088851234782,Latency-Aware,36.66,0.1256395945903557
6,71286.9093437869,39207.8001390828,0.029993967106398345,0.001481994197702981,0.028511972908695365,0.1775,0.05,0.9536635089265385,0.03779845317630334,0.021062490882269636,29893.976885612836,31366.24011126624,5881.17002086242,1960.39000695414,Latency-Aware,39.635,0.0712869093437869
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39207.8001390828,0.0,0.0,0.0,Latency-Aware,38.355,0.0
